article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
189383001,189383,BASIC LS TURTLE NECK BODY,256,Bodysuit,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,"Long-sleeved bodysuit in soft, ribbed organic cotton jersey with a polo neck, concealed press-studs on one shoulder and press-studs at the crotch."
189955076,189955,Nora tee,255,T-shirt,Garment Upper body,1010010,Melange,71,Light Blue,1,Dusty Light,2,Blue,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Top in soft slub jersey with a fake front pocket, short sleeves with sewn-in turn-ups, and a rounded hem."
203027045,203027,Linni tee (1),255,T-shirt,Garment Upper body,1010016,Solid,11,Off White,1,Dusty Light,9,White,1643,Basic 1,D,Divided,2,Divided,51,Divided Basics,1002,Jersey Basic,Short-sleeved top in jersey with sewn-in turn-ups on the sleeves.
315352006,315352,Edit dress (1),265,Dress,Garment Full body,1010016,Solid,9,Black,4,Dark,5,Black,7930,Young Girl Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"Dress in soft cotton jersey with 3/4-length sleeves, a seam at the waist and bell-shaped skirt."
318914001,318914,Basic cotton fleece leggings,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Leggings in soft sweatshirt fabric made from an organic cotton blend with an elasticated waist. Soft brushed inside.
400456001,400456,LS Body Solid 2PACK,256,Bodysuit,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,"Long-sleeved bodysuits in soft, ribbed, organic cotton jersey with press-studs on one shoulder and at the crotch."
458087001,458087,Fia longsleeve (1),254,Top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,"Top in soft, airy viscose jersey with long sleeves."
465619005,465619,RICK l/s henley SB,254,Top,Garment Upper body,1010005,Colour blocking,93,Dark Green,7,Medium,19,Green,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,Henley top in jersey with a button placket and long sleeves with a tab and button.
467191004,467191,Bobby cotton,262,Jacket,Garment Upper body,1010016,Solid,19,Greenish Khaki,4,Dark,20,Khaki green,5252,Jacket Casual,F,Menswear,3,Menswear,31,Mens Outerwear,1007,Outdoor,"Bomber jacket in a cotton weave with a zip down the front, zipped sleeve pocket and flap side pockets with a press-stud. Ribbing around the neckline, cuffs and hem. Unlined."
479294002,479294,V-neck Allington TVP,255,T-shirt,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,5831,Knitwear,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1003,Knitwear,V-neck T-shirt in premium cotton jersey.
499289001,499289,Holly hood fleece,262,Jacket,Garment Upper body,1010016,Solid,7,Grey,1,Dusty Light,12,Grey,8812,Young Girl Outdoor,I,Children Sizes 134-170,4,Baby/Children,45,Kids Outerwear,1007,Outdoor,"Jacket in soft, printed thermal fleece with a lined hood, zip down the front and side pockets."
499788003,499788,Brian cargo trousers,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,8756,Young Boy Trouser,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1009,Trousers,"Jersey-lined cargo trousers in a cotton weave with an adjustable elasticated waist and zip fly with a button. Flap front, back and leg pockets with a hook and loop fastening."
504347002,504347,Clark Slim Blz (1),264,Blazer,Garment Upper body,1010016,Solid,7,Grey,2,Medium Dusty,12,Grey,5131,Blazer,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1008,Dressed,"Single-breasted jacket in an Italian wool weave with notch lapels, a chest pocket, flap front pockets and three inner pockets, one with a button. Two buttons down the front, decorative buttons at the cuffs and a single back vent. Lined. Slim fit that tapers at the chest and waist, which combined with slightly narrower sleeves creates a fitted silhouette. For matching trousers, look for: 0507864."
505751001,505751,Skinny H.W Ankle Rocket,272,Trousers,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1772,Denim Trousers,D,Divided,2,Divided,57,Ladies Denim,1016,Trousers Denim,"5-pocket ankle-length jeans in washed stretch denim with worn details. High waist, button fly and skinny legs."
515250002,515250,Puffy,252,Sweater,Garment Upper body,1010016,Solid,52,Pink,7,Medium,4,Pink,1616,Knitwear,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1003,Knitwear,"Fine-knit jumper in a soft mohair blend with dropped shoulders, long sleeves and ribbing around the neckline, cuffs and hem. Slightly longer at the back."
545303001,545303,Peach parka,261,Outdoor Waistcoat,Garment Upper body,1010016,Solid,19,Greenish Khaki,2,Medium Dusty,20,Khaki green,1244,Outdoor/Blazers,D,Divided,2,Divided,53,Divided Collection,1007,Outdoor,"Parka in a woven modal blend with a soft, brushed finish. Hood, diagonal zip down the front, side pockets and a drawstring at the waist. Long sleeves with a tab and D-rings. Unlined."
545699002,545699,Kanta slacks Mama,272,Trousers,Garment Lower body,1010001,All over pattern,53,Dark Pink,5,Bright,4,Pink,2031,Woven bottoms,A,Ladieswear,1,Ladieswear,8,Mama,1009,Trousers,Trousers in a stretch cotton blend with wide ribbing at the waist for added comfort. Fake welt pockets at the back and tapered legs with pleats.
553023001,553023,LUDDE Fancy 2-pack L/S SB,252,Sweater,Garment Upper body,1010001,All over pattern,93,Dark Green,7,Medium,19,Green,7668,Kids Boy Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,Long-sleeved tops in soft organic cotton jersey. One with an all-over print and one in a solid colour.
567807001,567807,BOOTCUT TRASH FSA,272,Trousers,Garment Lower body,1010016,Solid,72,Blue,2,Medium Dusty,2,Blue,7917,Kids Girl Denim,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1016,Trousers Denim,"5-pocket jeans in washed stretch denim with an adjustable elasticated waist, zip fly and press-stud, worn details with patches on the inside and bootcut legs."
568137002,568137,Lizzie.,255,T-shirt,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Soft viscose jersey T-shirt in a slightly wider style with a V-neck.
571235001,571235,TOMMY 2-pack sweatpants BB,272,Trousers,Garment Lower body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,8768,Young Boy Jersey Basic,I,Children Sizes 134-170,4,Baby/Children,72,Boys Underwear & Basics,1002,Jersey Basic,"Joggers in soft sweatshirt fabric made from an organic cotton blend. Elasticated ribbing and a drawstring at the waist, side pockets and tapered legs with ribbed hems."
596013001,596013,SHIRT DOLLY,258,Blouse,Garment Upper body,1010023,Denim,72,Blue,2,Medium Dusty,2,Blue,7917,Kids Girl Denim,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1016,Trousers Denim,"Blouse in soft washed denim with a collar, press-studs down the front and flap chest pockets with a press-stud. Short flounced sleeves and a tie at the hem."
598785001,598785,Ricky bomber,262,Jacket,Garment Upper body,1010007,Embroidery,43,Dark Red,7,Medium,18,Red,5283,Jacket Street,F,Menswear,3,Menswear,31,Mens Outerwear,1007,Outdoor,"Satin baseball jacket with an embroidered motif on the chest and back, a striped stand-up collar and press-studs down the front. Jetted front pockets, one inner pocket and striped ribbing at the cuffs and hem. Lined."
600364001,600364,MIKE,252,Sweater,Garment Upper body,1010005,Colour blocking,8,Dark Grey,4,Dark,12,Grey,5878,Knitwear,F,Menswear,3,Menswear,20,Contemporary Smart,1003,Knitwear,"Top in sweatshirt fabric with long, fine-knit sleeves and striped ribbing around the neckline, cuffs and hem."
601993002,601993,APPLE SWEATER,252,Sweater,Garment Upper body,1010008,Front print,10,White,3,Light,9,White,5878,Knitwear,F,Menswear,3,Menswear,20,Contemporary Smart,1003,Knitwear,"Jumper in a soft, jacquard-knit cotton blend with long sleeves and a ribbed neckline. Roll edges at the cuffs and hem."
607350001,607350,Peregrin PU jacket,262,Jacket,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,5262,Jacket Smart,F,Menswear,3,Menswear,31,Mens Outerwear,1007,Outdoor,"Imitation leather biker jacket with quilted details on the shoulders, a diagonal zip, press-studs on the lapels and a zip at the cuffs. Side pockets, a small, zipped front pocket and a small flap pocket with a press-stud. Lined."
610568001,610568,Shorts SS Trash,274,Shorts,Garment Lower body,1010023,Denim,73,Dark Blue,2,Medium Dusty,2,Blue,7956,Kids Boy Denim,H,Children Sizes 92-140,4,Baby/Children,46,Kids Boy,1016,Trousers Denim,"5-pocket slim-fit shorts in washed, superstretch, flexible denim for maximum mobility with an adjustable elasticated waist and zip fly and button."
616130002,616130,Jonna fur coat,263,Coat,Garment Upper body,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,6512,Baby Boy Outdoor,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1007,Outdoor,Jacket in faux fur with a collar and concealed press-studs down the front. Lined.
616390001,616390,Original Straight Deco,272,Trousers,Garment Lower body,1010023,Denim,71,Light Blue,1,Dusty Light,2,Blue,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"5-pocket ankle-length jeans in washed denim with embroidered and hard-worn details in a loose fit. High waist, low crotch, button fly and straight legs with raw-edge hems."
617361002,617361,Island 2-in-1 dress,265,Dress,Garment Full body,1010016,Solid,52,Pink,1,Dusty Light,4,Pink,7618,Kids Girl Knitwear,H,Children Sizes 92-140,4,Baby/Children,76,Kids Girl,1003,Knitwear,"Dress in fine-knit cotton with a rounded collar in a broderie anglaise weave, an opening with a button at the back of the neck and short sleeves."
624674001,624674,TVP Sprout sweater,252,Sweater,Garment Upper body,1010014,Placement print,7,Grey,2,Medium Dusty,12,Grey,6546,Baby Boy Knitwear,G,Baby Sizes 50-98,4,Baby/Children,41,Baby Boy,1003,Knitwear,"Long-sleeved jumper knitted in a soft, fine cotton blend with a motif, buttons on one shoulder and ribbing around the neckline, cuffs and hem."
625275001,625275,LOTTA set,270,Garment Set,Garment Full body,1010001,All over pattern,6,Light Grey,1,Dusty Light,12,Grey,7920,Kids Girl Jersey Basic,H,Children Sizes 92-140,4,Baby/Children,79,Girls Underwear & Basics,1002,Jersey Basic,"Set with a top and shorts in cotton jersey. Patterned vest top with a frill-trimmed, rounded hem. Shorts with elastication and a drawstring at the waist."
633226002,633226,Zion slim,264,Blazer,Garment Upper body,1010010,Melange,8,Dark Grey,4,Dark,5,Black,5131,Blazer,F,Menswear,3,Menswear,23,Men Suits & Tailoring,1008,Dressed,"Single-breasted jacket in woven fabric containing some wool with narrow notch lapels, a decorative buttonhole and two buttons at the front. Chest pocket, flap front pockets and two inner pockets, one with a button. Decorative buttons at the cuffs and a single back vent. Lined. Slim fit that tapers at the chest and waist, which combined with slightly narrower sleeves creates a fitted silhouette."
634665001,634665,Cami tank,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Vest top in airy slub linen jersey with a racer back and rounded hem.
638657005,638657,Mister Wide,274,Shorts,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1717,Trouser,A,Ladieswear,1,Ladieswear,11,Womens Tailoring,1009,Trousers,"Wide trousers in woven fabric with elastication at the back of the waist and a zip fly and concealed hook-and-eye fastener. Side pockets, fake welt back pockets and straight, wide legs."
639282001,639282,Joshua Cargo,272,Trousers,Garment Lower body,1010016,Solid,93,Dark Green,4,Dark,19,Green,8756,Young Boy Trouser,I,Children Sizes 134-170,4,Baby/Children,47,Young Boy,1009,Trousers,"Jersey-lined cargo trousers in a cotton weave with an adjustable, elasticated waist, zip fly and button, and flap front, back and leg pockets with a concealed press-stud."
640020001,640020,BFF GF Denim TRS,272,Trousers,Garment Lower body,1010016,Solid,71,Light Blue,3,Light,2,Blue,1747,Trousers,D,Divided,2,Divided,53,Divided Collection,1009,Trousers,"5-pocket ankle-length jeans in washed stretch denim with hard-worn details, a regular waist, zip fly and button and tapered legs with cut-off, raw-edge hems."
649538001,649538,Merry kimono,262,Jacket,Garment Upper body,1010001,All over pattern,13,Beige,2,Medium Dusty,11,Beige,1241,Outwear & Blazers,A,Ladieswear,1,Ladieswear,18,Womens Trend,1008,Dressed,"Long kimono woven in a patterned linen blend with long sleeves, a concealed hook-and-eye fastening and detachable tie belt at the waist. Pockets in the side seams and a long slit at the back."
651198001,651198,LOGG Kir Royal parka.,262,Jacket,Garment Upper body,1010001,All over pattern,93,Dark Green,2,Medium Dusty,19,Green,1929,Outwear,A,Ladieswear,1,Ladieswear,2,H&M+,1007,Outdoor,"Parka in a patterned cotton weave with a lined, drawstring hood, partially concealed press-studs down the front and a yoke at the back. Flap front pockets with a concealed press-stud, low dropped shoulders, wide sleeves with a press-stud at the cuffs and a single back vent. Unlined."
651591001,651591,Marakesh blazer,264,Blazer,Garment Upper body,1010017,Stripe,9,Black,4,Dark,5,Black,1222,Suit jacket,A,Ladieswear,1,Ladieswear,15,Womens Everyday Collection,1008,Dressed,"Straight-cut jacket in a textured, striped cotton and viscose weave. Notch lapels, patch front pockets and buttons at the front. Lined."
